Degree,Major,CGPA,Employed,Experience,Skills,Certifications,IndustryPreference,Job Role Simplified,Job Role
MBA,Finance,7.28,yes,8,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Mechanical,7.02,yes,2,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer,Software Engineer
M.Tech,Mechanical,5.02,yes,9,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,8.12,yes,10,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,6.1,no,5,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
MBA,Finance,6.38,no,5,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,9.58,no,3,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,9.77,yes,6,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer,Software Engineer
MBA,Finance,7.76,yes,2,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Electrical,8.7,no,7,"Embedded Systems, C, Circuit Design, MATLAB",Data Science Certificate,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,9.42,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
MBA,Finance,8.99,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Electrical,8.98,no,0,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.9,no,6,"SQL, Financial Modeling, Accounting, Risk Analysis, Excel",Six Sigma,Finance,Investment Analyst,Data Analyst
B.Tech,Mechanical,8.67,no,3,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
M.Tech,Mechanical,7.44,yes,4,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Design Engineer,Software Engineer
MBA,Economics,6.87,no,4,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
MBA,Economics,7.0,yes,3,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Finance,6.34,no,0,"Accounting, Financial Modeling",PMP,IT,Financial Analyst,Data Analyst
MBA,Finance,5.93,yes,6,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
MBA,Finance,5.27,yes,10,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
B.Tech,Mechanical,7.62,no,10,"Thermodynamics, SolidWorks, AutoCAD",PMP,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,6.48,yes,10,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
B.Tech,Electrical,5.3,no,9,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,6.43,no,4,"C++, SQL, Java",AWS Certified,Engineer,Software Engineer,Software Engineer
M.Tech,Mechanical,6.8,yes,7,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer,Software Engineer
B.Tech,Electrical,5.36,yes,8,"Circuit Design, Embedded Systems, VHDL, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Computer Science,5.82,no,4,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
MBA,Finance,7.61,no,2,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
B.Tech,Electrical,8.29,no,1,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.54,no,9,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.51,yes,9,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Mechanical,9.22,yes,10,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
MBA,Finance,5.47,no,1,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
M.Tech,Mechanical,5.34,no,9,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
B.Tech,Electrical,6.8,no,2,"Embedded Systems, VHDL, Circuit Design, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,8.11,no,9,"Thermodynamics, AutoCAD, SolidWorks",PMP,Research,Design Engineer,Software Engineer
M.Tech,Mechanical,5.45,no,6,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Finance,6.36,no,10,"Accounting, SQL, Risk Analysis",Six Sigma,Engineer,Investment Analyst,Data Analyst
B.Tech,Electrical,9.29,yes,4,"VHDL, MATLAB, C",Six Sigma,IT,Hardware Engineer,Software Engineer
B.Tech,Mechanical,5.32,no,8,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,8.94,yes,3,"Circuit Design, C, Embedded Systems",PMP,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.83,yes,8,"Java, Machine Learning, Python, C++",Six Sigma,IT,Data Scientist,Data Scientist
MBA,Finance,9.63,yes,6,"Financial Modeling, Accounting, Excel, SQL, Risk Analysis",AWS Certified,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,6.57,no,4,"Accounting, Financial Modeling, Excel",Data Science Certificate,FiEngineernance,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.4,yes,9,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,9.19,yes,2,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Engineer,Hardware Engineer,Software Engineer
M.Tech,Computer Science,5.76,no,8,"Python, C++, SQL",Data Science Certificate,IT,Software Engineer,Software Engineer
MBA,Finance,9.86,no,3,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.61,no,10,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
MBA,Economics,6.12,no,10,"Econometrics, Python, Data Analysis",Six Sigma,Finance,Financial Analyst,Data Analyst
MBA,Finance,9.56,yes,8,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
MBA,Economics,9.17,yes,3,"Data Analysis, Python, Statistics, Econometrics",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,9.65,yes,9,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,7.29,yes,5,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,10.0,yes,0,"C++, Machine Learning, SQL, Java",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
B.Tech,Electrical,9.84,yes,2,"Circuit Design, Embedded Systems",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,9.52,no,0,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,8.76,yes,2,"Python, Machine Learning, Java",Data Science Certificate,Engineer,Data Scientist,Data Scientist
B.Tech,Mechanical,8.27,yes,4,"Thermodynamics, MATLAB, AutoCAD, SolidWorks",Six Sigma,Engineer,Design Engineer,Software Engineer
M.Tech,Computer Science,8.02,no,0,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
MBA,Economics,7.98,yes,9,"R, Data Analysis",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Economics,8.65,no,5,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Computer Science,8.01,yes,5,"Python, SQL, Machine Learning, Java, C++",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Mechanical,8.84,yes,0,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Manufacturing,Design Engineer,Software Engineer
B.Tech,Computer Science,8.08,no,6,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Electrical,9.38,yes,8,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
B.Tech,Electrical,7.19,yes,4,"C, VHDL, MATLAB, Circuit Design",Data Science Certificate,Research,Hardware Engineer,Software Engineer
MBA,Economics,7.0,no,10,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
,Finance,9.51,yes,3,"Financial Modeling, Accounting, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Electrical,9.71,yes,9,"Circuit Design, VHDL, Embedded Systems, C",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Economics,9.12,yes,2,"R, Data Analysis",PMP,Education,Financial Analyst,Data Analyst
MBA,Economics,5.6,no,7,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.87,yes,3,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
M.Tech,Mechanical,7.35,no,0,"Thermodynamics, MATLAB",AWS Certified,Research,Mechanical Engineer,Mechanical Engineer
MBA,Economics,6.25,yes,8,"Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
M.Tech,Mechanical,8.35,yes,3,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
B.Tech,Computer Science,6.46,yes,0,"Machine Learning, Python, Java",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
M.Tech,Computer Science,9.0,no,1,"C++, Machine Learning, Java, Python, SQL",Six Sigma,IT,Data Scientist,Data Scientist
MBA,Economics,9.12,yes,8,"Statistics, Python, R, Data Analysis",AWS Certified,Finance,Financial Analyst,Data Analyst
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
,Economics,6.63,yes,3,"Econometrics, R, Python",Data Science Certificate,Finance,Financial Analyst,Data Analyst
B.Tech,Computer Science,9.87,yes,6,"Java, C++, Machine Learning, Python, SQL",PMP,Education,Data Scientist,Data Scientist
MBA,Economics,7.0,yes,4,"Python, Econometrics, R, Data Analysis",PMP,Manufacturing,Financial Analyst,Data Analyst
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
MCA,Computer Science,9.74,no,10,"SQL, Machine Learning, Python, C++, Java",PMP,Manufacturing,Data Scientist,Data Scientist
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
MCA,Finance,8.21,no,2,"Financial Modeling, SQL, Excel",PMP,Education,Financial Analyst,Data Analyst
MCA,Finance,7.45,yes,7,"Accounting, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
MCA,Finance,9.12,no,4,"Risk Analysis, Financial Modeling, SQL",AWS Certified,IT,Financial Analyst,Data Analyst
MCA,Finance,6.98,yes,9,"Accounting, Financial Modeling, Excel",Data Science Certificate,Research,Investment Analyst,Data Analyst
MCA,Finance,8.65,no,5,"Financial Modeling, Accounting, Excel",PMP,Finance,Financial Analyst,Data Analyst
MCA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
MCA,Computer Science,9.31,no,0,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
B.Tech,Electrical,5.29,yes,2,"MATLAB, Embedded Systems, VHDL, Circuit Design, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,5.86,yes,2,"Financial Modeling, SQL, Excel, Accounting, Risk Analysis",Six Sigma,Engineer,Investment Analyst,Data Analyst
MBA,Economics,8.16,yes,9,"R, Econometrics, Data Analysis, Python, Statistics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Economics,9.8,yes,2,"Data Analysis, R, Statistics, Econometrics",PMP,Education,Financial Analyst,Data Analyst
MBA,Economics,7.38,no,2,"Statistics, Econometrics, Data Analysis, Python",PMP,Engineer,Financial Analyst,Data Analyst
MBA,Economics,6.66,no,7,"Data Analysis, R, Econometrics, Python, Statistics",PMP,IT,Financial Analyst,Data Analyst
MBA,Finance,6.95,no,9,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,7.15,no,4,"Java, Machine Learning, Python, C++",Data Science Certificate,Engineer,Data Analyst,Data Analyst
B.Tech,Computer Science,7.7,no,6,"C++, Python, SQL",Six Sigma,Finance,Software Engineer,Software Engineer
M.Tech,Computer Science,9.0,yes,2,"Python, C++",PMP,Finance,Software Engineer,Software Engineer
M.Tech,Computer Science,5.8,no,10,"Java, Python",Six Sigma,Education,Software Engineer,Software Engineer
B.Tech,Computer Science,5.5,no,3,"Machine Learning, C++",AWS Certified,Education,Data Analyst,Data Analyst
M.Tech,Mechanical,6.89,yes,10,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer,Software Engineer
B.Tech,Electrical,5.87,yes,8,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,5.42,no,1,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,6.14,yes,9,"MATLAB, VHDL, C",PMP,Manufacturing,Hardware Engineer,Software Engineer
M.Tech,Computer Science,9.55,no,0,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Electrical,7.62,no,9,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
B.Tech,Electrical,5.55,no,7,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Engineer,Investment Analyst,Data Analyst
B.Tech,Computer Science,7.45,yes,3,"Machine Learning, Python",Data Science Certificate,Education,Data Analyst,Data Analyst
B.Tech,Mechanical,8.36,yes,10,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,5.39,no,2,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Design Engineer,Software Engineer
MBA,Finance,9.58,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
MBA,Economics,9.67,yes,8,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.26,no,3,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Computer Science,6.78,no,7,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Data Analyst,Data Analyst
M.Tech,Computer Science,8.9,no,9,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Mechanical,7.85,no,8,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Computer Science,5.09,yes,8,"SQL, Machine Learning, C++, Java",PMP,IT,Data Analyst,Data Analyst
MBA,Finance,8.36,no,10,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
MBA,Economics,7.34,yes,0,"R, Data Analysis, Python",Six Sigma,IT,Financial Analyst,Data Analyst
MBA,Finance,7.28,yes,8,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Mechanical,7.02,yes,2,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer,Software Engineer
M.Tech,Mechanical,5.02,yes,9,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,8.12,yes,10,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,6.1,no,5,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
MBA,Finance,6.38,no,5,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,9.58,no,3,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,9.77,yes,6,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer,Software Engineer
MBA,Finance,7.76,yes,2,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Electrical,8.7,no,7,"Embedded Systems, C, Circuit Design, MATLAB",Data Science Certificate,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,9.42,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
MBA,Finance,8.99,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Electrical,8.98,no,0,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.9,no,6,"SQL, Financial Modeling, Accounting, Risk Analysis, Excel",Six Sigma,Finance,Investment Analyst,Data Analyst
B.Tech,Mechanical,8.67,no,3,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
M.Tech,Mechanical,7.44,yes,4,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Design Engineer,Software Engineer
MBA,Economics,6.87,no,4,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
MBA,Economics,7.0,yes,3,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Finance,6.34,no,0,"Accounting, Financial Modeling",PMP,IT,Financial Analyst,Data Analyst
MBA,Finance,5.93,yes,6,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
MBA,Finance,5.27,yes,10,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
B.Tech,Mechanical,7.62,no,10,"Thermodynamics, SolidWorks, AutoCAD",PMP,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,6.48,yes,10,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
B.Tech,Electrical,5.3,no,9,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,6.43,no,4,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
M.Tech,Mechanical,6.8,yes,7,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer,Software Engineer
B.Tech,Electrical,5.36,yes,8,"Circuit Design, Embedded Systems, VHDL, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Computer Science,5.82,no,4,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
MBA,Finance,7.61,no,2,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
B.Tech,Electrical,8.29,no,1,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.54,no,9,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.51,yes,9,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Mechanical,9.22,yes,10,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
MBA,Finance,5.47,no,1,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
M.Tech,Mechanical,5.34,no,9,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
B.Tech,Electrical,6.8,no,2,"Embedded Systems, VHDL, Circuit Design, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,8.11,no,9,"Thermodynamics, AutoCAD, SolidWorks",PMP,Research,Design Engineer,Software Engineer
M.Tech,Mechanical,5.45,no,6,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Finance,6.36,no,10,"Accounting, SQL, Risk Analysis",Six Sigma,Finance,Investment Analyst,Data Analyst
B.Tech,Electrical,9.29,yes,4,"VHDL, MATLAB, C",Six Sigma,IT,Hardware Engineer,Software Engineer
B.Tech,Mechanical,5.32,no,8,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Engineer,Design Engineer,Software Engineer
B.Tech,Electrical,8.94,yes,3,"Circuit Design, C, Embedded Systems",PMP,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.83,yes,8,"Java, Machine Learning, Python, C++",Six Sigma,IT,Data Scientist,Data Scientist
MBA,Finance,9.63,yes,6,"Financial Modeling, Accounting, Excel, SQL, Risk Analysis",AWS Certified,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,6.57,no,4,"Accounting, Financial Modeling, Excel",Data Science Certificate,Finance,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.4,yes,9,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,9.19,yes,2,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
M.Tech,Computer Science,5.76,no,8,"Python, C++, SQL",Data Science Certificate,IT,Software Engineer,Software Engineer
MBA,Finance,9.86,no,3,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.61,no,10,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
MBA,Economics,6.12,no,10,"Econometrics, Python, Data Analysis",Six Sigma,Finance,Financial Analyst,Data Analyst
MBA,Finance,9.56,yes,8,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
MBA,Economics,9.17,yes,3,"Data Analysis, Python, Statistics, Econometrics",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,9.65,yes,9,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,7.29,yes,5,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Engineer,Design Engineer,Software Engineer
M.Tech,Computer Science,10.0,yes,0,"C++, Machine Learning, SQL, Java",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
B.Tech,Electrical,9.84,yes,2,"Circuit Design, Embedded Systems",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,9.52,no,0,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,8.76,yes,2,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,8.27,yes,4,"Thermodynamics, MATLAB, AutoCAD, SolidWorks",Six Sigma,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,8.02,no,0,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
MBA,Economics,7.98,yes,9,"R, Data Analysis",Data Science Certificate,IT,Financial Analyst,Data Analyst
